summary_type,summary_value,valid_face,entered_modeling,count
sport_event_id,sr:sport_event:66098024,True,True,546
sport_event_id,sr:sport_event:66098028,True,True,583
sport_event_id,sr:sport_event:66098032,True,True,596
player_name,"Anderson, Gary",True,True,313
player_name,"Littler, Luke",True,True,588
player_name,"Searle, Ryan",True,True,266
player_name,"van Veen, Gian",True,True,558
segment_label,D1,True,True,1
segment_label,D10,True,True,8
segment_label,D12,True,True,3
segment_label,D14,True,True,1
segment_label,D15,True,True,1
segment_label,D16,True,True,9
segment_label,D18,True,True,2
segment_label,D20,True,True,29
segment_label,D3,True,True,2
segment_label,D4,True,True,1
segment_label,D5,True,True,3
segment_label,D6,True,True,1
segment_label,D8,True,True,7
segment_label,D9,True,True,1
segment_label,S1,True,True,20
segment_label,S10,True,True,12
segment_label,S11,True,True,1
segment_label,S12,True,True,6
segment_label,S13,True,True,2
segment_label,S14,True,True,8
segment_label,S15,True,True,5
segment_label,S16,True,True,21
segment_label,S17,True,True,19
segment_label,S18,True,True,40
segment_label,S19,True,True,125
segment_label,S2,True,True,2
segment_label,S20,True,True,553
segment_label,S3,True,True,4
segment_label,S4,True,True,3
segment_label,S5,True,True,25
segment_label,S50,True,True,12
segment_label,S6,True,True,2
segment_label,S7,True,True,12
segment_label,S8,True,True,10
segment_label,S9,True,True,4
segment_label,SB,True,True,29
segment_label,T1,True,True,19
segment_label,T14,True,True,1
segment_label,T15,True,True,4
segment_label,T16,True,True,6
segment_label,T17,True,True,20
segment_label,T18,True,True,27
segment_label,T19,True,True,101
segment_label,T2,True,True,2
segment_label,T20,True,True,526
segment_label,T4,True,True,1
segment_label,T5,True,True,26
segment_label,T7,True,True,8
wedge_number_label,1,True,True,40
wedge_number_label,10,True,True,20
wedge_number_label,11,True,True,1
wedge_number_label,12,True,True,9
wedge_number_label,13,True,True,2
wedge_number_label,14,True,True,10
wedge_number_label,15,True,True,10
wedge_number_label,16,True,True,36
wedge_number_label,17,True,True,39
wedge_number_label,18,True,True,69
wedge_number_label,19,True,True,226
wedge_number_label,2,True,True,4
wedge_number_label,20,True,True,1108
wedge_number_label,3,True,True,6
wedge_number_label,4,True,True,5
wedge_number_label,5,True,True,54
wedge_number_label,6,True,True,3
wedge_number_label,7,True,True,20
wedge_number_label,8,True,True,17
wedge_number_label,9,True,True,5
wedge_number_label,BULL,True,True,41
coarse_wedge_area_label,16,True,True,53
coarse_wedge_area_label,17,True,True,43
coarse_wedge_area_label,18,True,True,74
coarse_wedge_area_label,19,True,True,252
coarse_wedge_area_label,20,True,True,1202
coarse_wedge_area_label,BULL,True,True,41
coarse_wedge_area_label,OTHER,True,True,60
resulting_score,1,True,True,20
resulting_score,2,True,True,3
resulting_score,3,True,True,23
resulting_score,4,True,True,3
resulting_score,5,True,True,25
resulting_score,6,True,True,6
resulting_score,7,True,True,12
resulting_score,8,True,True,11
resulting_score,9,True,True,4
resulting_score,10,True,True,15
resulting_score,11,True,True,1
resulting_score,12,True,True,8
resulting_score,13,True,True,2
resulting_score,14,True,True,8
resulting_score,15,True,True,31
resulting_score,16,True,True,28
resulting_score,17,True,True,19
resulting_score,18,True,True,41
resulting_score,19,True,True,125
resulting_score,20,True,True,561
resulting_score,21,True,True,8
resulting_score,24,True,True,3
resulting_score,25,True,True,29
resulting_score,28,True,True,1
resulting_score,30,True,True,1
resulting_score,32,True,True,9
resulting_score,36,True,True,2
resulting_score,40,True,True,29
resulting_score,42,True,True,1
resulting_score,45,True,True,4
resulting_score,48,True,True,6
resulting_score,50,True,True,12
resulting_score,51,True,True,20
resulting_score,54,True,True,27
resulting_score,57,True,True,101
resulting_score,60,True,True,526
