section,metric,group_value,value
overall,total_captures,,1725.0
overall,verified_captures,,1725.0
overall,valid_gaze_captures,,1725.0
overall,invalid_gaze_captures,,0.0
overall,modeling_subset_captures,,1725.0
match_valid_face_rate,valid_face_rate,sr:sport_event:66098024,1.0
match_valid_face_rate,valid_face_rate,sr:sport_event:66098028,1.0
match_valid_face_rate,valid_face_rate,sr:sport_event:66098032,1.0
segment_count,count,S20,553.0
segment_count,count,T20,526.0
segment_count,count,S19,125.0
segment_count,count,T19,101.0
segment_count,count,S18,40.0
segment_count,count,SB,29.0
segment_count,count,D20,29.0
segment_count,count,T18,27.0
segment_count,count,T5,26.0
segment_count,count,S5,25.0
segment_count,count,OTHER,244.0
