id,name,category_id,category_name,gender
sr:competition:592,European Championship,,,men
sr:competition:597,Grand Slam of Darts,,,men
sr:competition:616,PDC World Championship,,,mixed
sr:competition:631,PDC Players Championship,,,mixed
sr:competition:670,UK Open,,,mixed
sr:competition:689,World Matchplay,,,men
sr:competition:751,World Grand Prix,,,men
sr:competition:1548,World Masters,,,men
sr:competition:16344,North American Darts Championship,,,men
sr:competition:24409,PDC European Tour - German Darts Grand Prix,,,men
sr:competition:24411,PDC European Tour - European Darts Open,,,mixed
sr:competition:24413,PDC European Tour - Austrian Darts Open,,,mixed
sr:competition:24415,PDC European Tour - European Darts Grand Prix,,,mixed
sr:competition:24425,PDC European Tour - German Darts Championship,,,mixed
sr:competition:24427,PDC European Tour - Dutch Darts Championship,,,mixed
sr:competition:24429,PDC European Tour - International Darts Open,,,mixed
sr:competition:24431,PDC European Tour - European Darts Trophy,,,men
sr:competition:25469,PDC World Series of Darts - US Darts Masters,,,mixed
sr:competition:26750,PDC World Series of Darts - Finals,,,mixed
