id,name,abbreviation
sr:competitor:260881,"Joyce, Ryan",JOY
sr:competitor:141718,"Woodhouse, Luke",WOO
sr:competitor:68642,"Smith, Ross",SMI
sr:competitor:35951,"Wright, Peter",WRI
sr:competitor:590369,"van Veen, Gian",VAN
sr:competitor:172078,"Heta, Damon",HETA
sr:competitor:143420,"Price, Gerwyn",PRI
sr:competitor:85671,"Gurney, Daryl",GUR
sr:competitor:191308,"Clayton, Jonny",CLA
sr:competitor:316831,"Searle, Ryan",SEA
sr:competitor:163422,"Schindler, Martin",SCH
sr:competitor:46125,"Chisnall, Dave",CHI
sr:competitor:590089,"Nijman, Wessel",NIJ
sr:competitor:26280,"van Gerwen, Michael",VGE
sr:competitor:70916,"Bunting, Stephen",BUN
sr:competitor:143410,"Dobey, Chris",DOB
sr:competitor:628490,"Springer, Niko",SPR
sr:competitor:186078,"Wattimena, Jermaine",WAT
sr:competitor:26272,"Anderson, Gary",AND
sr:competitor:320691,"Menzies, Cameron",MEN
sr:competitor:26110,"Wade, James",WAD
sr:competitor:173482,"de Decker, Mike",DECK
sr:competitor:868039,"Rock, Josh",ROC
sr:competitor:502996,"Pietreczko, Ricardo",PIE
sr:competitor:396490,"Humphries, Luke",HUM
sr:competitor:224944,"Ratajski, Krzysztof",RAT
sr:competitor:862105,"Littler, Luke",LIT
sr:competitor:26108,"van Barneveld, Raymond",VAB
sr:competitor:191294,"Aspinall, Nathan",ASP
sr:competitor:245555,"Cross, Rob",CRO
sr:competitor:136796,"van Duijvenbode, Dirk",VAD
sr:competitor:260885,"Noppert, Danny",NOP
sr:competitor:572935,"Wenig, Lukas",WEN
sr:competitor:316835,"Lukeman, Martin",LUK
sr:competitor:590305,"van der Velde, Jurjen",VAN
sr:competitor:42237,"Evans, Ricky",EVA
sr:competitor:579401,"Bellmont, Stefan",BEL
sr:competitor:867971,"Crabtree, Cam",CRA
sr:competitor:62052,"Ashton, Lisa",ASH
sr:competitor:590379,"Scutt, Connor",SCU
sr:competitor:35936,"Smith, Michael",SMI
sr:competitor:999817,"Spellman, Alex",SPE
sr:competitor:132048,"Sedlacek, Karel",SED
sr:competitor:320253,"Greaves, Beau",GRE
sr:competitor:1210277,"Toylo, Alexis",TOY
sr:competitor:333547,"Rydz, Callan",RYD
sr:competitor:53501,"Huybrechts, Kim",HUY
sr:competitor:1069236,"Merk, Arno",MER
sr:competitor:180890,"Labanauskas, Darius",LAB
sr:competitor:132040,"Razma, Madars",RAZ
sr:competitor:657183,"van den Herik, Jamai",VDH
sr:competitor:548333,"Zonneveld, Niels",ZON
sr:competitor:458401,"Puha, Haupai",PUH
sr:competitor:51766,"White, Ian",WHI
sr:competitor:389540,"Landman, Chris",LAN
sr:competitor:256299,"Dekker, Cor",DEK
sr:competitor:641574,"Harrysson, Andreas",HAR
sr:competitor:761316,"Leung, Man Lok",LEU
sr:competitor:186072,"Reyes, Cristo",REY
sr:competitor:316747,"Lennon, Steve",LEN
sr:competitor:519916,"Vandenbogaerde, Mario",VAB
sr:competitor:978173,"Davies, David",DAV
sr:competitor:51537,"Gilding, Andrew",GIL
sr:competitor:47379,"Krcmar, Boris",KRC
sr:competitor:72058,"Hunt, Adam",HUN
sr:competitor:83897,"de Graaf, Jeffrey",DEG
sr:competitor:85679,"Lim, Paul",LIM
sr:competitor:283339,"Evetts, Ted",EVE
sr:competitor:286203,"Clemens, Gabriel",CLE
sr:competitor:192688,"Edhouse, Ritchie",EDH
sr:competitor:1038095,"Tata, Jonny",TAT
sr:competitor:591905,"Taylor, Dom",TAY
sr:competitor:239048,"Veenstra, Richard",VEE
sr:competitor:154252,"Kumar, Nitin",KUM
sr:competitor:35969,"Cullen, Joe",CUL
sr:competitor:413663,"Brooks, Bradley",BRO
sr:competitor:557830,"Plaisier, Wesley",PLA
sr:competitor:548347,"Beveridge, Darren",BEV
sr:competitor:761300,"Bialecki, Sebastian",BIA
sr:competitor:239040,"Hurrell, James",HUR
sr:competitor:32762,"Dolan, Brendan",DOL
sr:competitor:957621,"Manby, Charlie",MAN
sr:competitor:26097,"Suljovic, Mensur",SUL
sr:competitor:132034,"Cameron, David",CAM
sr:competitor:1028527,"van Leuven, Noa-Lynn",VAN
sr:competitor:83171,"Hopp, Max",HOP
sr:competitor:320367,"Baetens, Andy",BAE
sr:competitor:971469,"Lipscombe, Adam",LIP
sr:competitor:26276,"Whitlock, Simon",WHI
sr:competitor:239042,"Soutar, Alan",SOU
sr:competitor:260877,"Kenny, Nick",KEN
sr:competitor:655641,"Hood, Justin",HOOD
sr:competitor:655643,"Williams, Scott",WIL
sr:competitor:352116,"Zong, Xiaochen",ZON
sr:competitor:61058,"de Sousa, Jose",DES
sr:competitor:626108,"Gawlas, Adam",GAW
sr:competitor:928807,"Comito, Joe",COM
sr:competitor:35924,"Campbell, Matt",CAM
sr:competitor:1136743,"Sevada, Adam",SEV
sr:competitor:1210273,"Azemoto, Ryusei",AZE
sr:competitor:323489,"Burton, Stephen",BUR
sr:competitor:260641,"Kovacs, Patrik",KP
sr:competitor:957647,"Bates, Owen",BAT
sr:competitor:1304228,"Munyua, David",MUN
sr:competitor:628476,"Gruellich, Dominik",GRU
sr:competitor:132090,"Sherrock, Fallon",SHE
sr:competitor:1306824,"Tatsunami, Mitsuhiko",TAT
sr:competitor:590095,"Doets, Kevin",DOE
sr:competitor:98335,"Dennant, Matthew",DEN
sr:competitor:283341,"Meikle, Ryan",MEI
sr:competitor:47374,"Mansell, Mickey",MAN
sr:competitor:602302,"Gates, Leonard",GAT
sr:competitor:1184083,"Hayter, Gemma",HAY
sr:competitor:42254,"O’Connor, William",OCO
sr:competitor:39341,"Kciuk, Krzysztof",KCI
sr:competitor:32914,"Ilagan, Lourence",ILA
sr:competitor:590259,"Barry, Keane",BAR
sr:competitor:60996,"Kist, Christian",KIS
sr:competitor:1225777,"Czerwinski, Maximilian",CZE
sr:competitor:1225775,"Bissell, Tom",BIS
sr:competitor:290774,"Szaganski, Radek",SZA
sr:competitor:458437,"Lauby, Danny",LAU
sr:competitor:1016953,"Brandon, Jason",BRA
sr:competitor:1269938,"Kramer, Martin",KRA
sr:competitor:1150393,"Springer, Felix",SPR
sr:competitor:589975,"Troppmann, Kevin",TRO
